Transaction_ID,Account_ID,Transaction_Date,Transaction_Type,Amount,Description
TXN-00001,ACCT-1001,2023-01-06 09:15:22,Deposit,2500.00,Opening deposit
TXN-00002,ACCT-1001,2023-01-08 14:30:10,Withdrawal,200.00,ATM withdrawal
TXN-00003,ACCT-1002,2023-01-09 10:05:45,Deposit,1000.00,Initial savings transfer
TXN-00004,ACCT-1003,2023-01-08 11:20:33,Deposit,3200.00,Payroll deposit
TXN-00005,ACCT-1003,2023-01-10 13:45:18,Payment,450.00,Hydro bill payment
TXN-00006,ACCT-1004,2023-01-09 15:00:55,Deposit,5000.00,Investment contribution
TXN-00007,ACCT-1005,2023-01-11 08:50:27,Deposit,2800.00,Payroll deposit
TXN-00008,ACCT-1005,2023-01-12 16:10:44,Withdrawal,300.00,ATM withdrawal
TXN-00009,ACCT-1006,2023-01-13 09:30:12,Deposit,800.00,Savings deposit
TXN-00010,ACCT-1007,2023-01-13 11:55:38,Deposit,3500.00,Payroll deposit
TXN-00011,ACCT-1007,2023-01-14 14:20:06,Payment,125.00,Internet bill payment
TXN-00012,ACCT-1008,2023-01-15 10:40:51,Purchase,89.99,Online purchase
TXN-00013,ACCT-1009,2023-01-16 09:05:29,Deposit,2600.00,Payroll deposit
TXN-00014,ACCT-1009,2023-01-17 13:15:47,Withdrawal,150.00,ATM withdrawal
TXN-00015,ACCT-1010,2023-01-17 15:30:14,Deposit,600.00,Savings deposit
TXN-00016,ACCT-1011,2023-01-19 08:45:32,Deposit,3100.00,Payroll deposit
TXN-00017,ACCT-1011,2023-01-20 11:00:59,Payment,210.00,Gas bill payment
TXN-00018,ACCT-1012,2023-01-19 14:20:17,Deposit,10000.00,Investment contribution
TXN-00019,ACCT-1013,2023-01-21 09:35:44,Deposit,2900.00,Payroll deposit
TXN-00020,ACCT-1013,2023-01-22 12:50:22,Purchase,64.50,Grocery store purchase
TXN-00021,ACCT-1014,2023-01-23 10:10:39,Deposit,2400.00,Payroll deposit
TXN-00022,ACCT-1014,2023-01-24 14:25:07,Withdrawal,200.00,ATM withdrawal
TXN-00023,ACCT-1015,2023-01-24 16:40:54,Deposit,500.00,Savings deposit
TXN-00024,ACCT-1016,2023-01-26 09:00:21,Deposit,2750.00,Payroll deposit
TXN-00025,ACCT-1016,2023-01-27 11:15:48,Payment,175.00,Phone bill payment
TXN-00026,ACCT-1017,2023-01-27 13:30:16,Purchase,249.99,Electronics purchase
TXN-00027,ACCT-1018,2023-01-29 08:45:43,Deposit,3300.00,Payroll deposit
TXN-00028,ACCT-1018,2023-01-30 10:00:11,Payment,320.00,Rent partial payment
TXN-00029,ACCT-1019,2023-02-02 09:20:38,Deposit,2650.00,Payroll deposit
TXN-00030,ACCT-1019,2023-02-03 12:35:05,Withdrawal,100.00,ATM withdrawal
TXN-00031,ACCT-1020,2023-02-02 14:50:32,Deposit,750.00,Savings deposit
TXN-00032,ACCT-1021,2023-02-04 10:05:59,Deposit,4200.00,Payroll deposit
TXN-00033,ACCT-1021,2023-02-05 13:20:27,Payment,1800.00,Rent payment
TXN-00034,ACCT-1022,2023-02-04 15:35:54,Deposit,15000.00,Investment contribution
TXN-00035,ACCT-1023,2023-02-07 09:50:21,Deposit,2450.00,Payroll deposit
TXN-00036,ACCT-1023,2023-02-08 11:05:48,Purchase,112.75,Department store purchase
TXN-00037,ACCT-1024,2023-02-07 13:20:16,Deposit,900.00,Savings deposit
TXN-00038,ACCT-1025,2023-02-09 08:35:43,Deposit,2850.00,Payroll deposit
TXN-00039,ACCT-1025,2023-02-10 10:50:11,Payment,95.00,Streaming services
TXN-00040,ACCT-1026,2023-02-09 13:05:38,Purchase,435.60,Home improvement purchase
TXN-00041,ACCT-1027,2023-02-11 09:20:05,Deposit,3050.00,Payroll deposit
TXN-00042,ACCT-1027,2023-02-12 11:35:32,Withdrawal,250.00,ATM withdrawal
TXN-00043,ACCT-1028,2023-02-14 10:50:59,Deposit,2700.00,Payroll deposit
TXN-00044,ACCT-1028,2023-02-15 13:05:27,Payment,145.00,Cable bill payment
TXN-00045,ACCT-1029,2023-02-14 15:20:54,Deposit,600.00,Savings deposit
TXN-00046,ACCT-1030,2023-02-16 09:35:21,Deposit,2950.00,Payroll deposit
TXN-00047,ACCT-1030,2023-02-17 11:50:48,Purchase,78.99,Gas station purchase
TXN-00048,ACCT-1031,2023-02-19 09:05:16,Deposit,3400.00,Payroll deposit
TXN-00049,ACCT-1031,2023-02-20 11:20:43,Payment,220.00,Insurance payment
TXN-00050,ACCT-1032,2023-02-19 13:35:11,Deposit,8000.00,Investment contribution
TXN-00051,ACCT-1001,2023-02-06 10:15:28,Deposit,2500.00,Payroll deposit
TXN-00052,ACCT-1001,2023-02-07 14:30:55,Payment,1850.00,Rent payment
TXN-00053,ACCT-1002,2023-02-06 16:45:22,Deposit,500.00,Savings deposit
TXN-00054,ACCT-1003,2023-02-08 09:00:49,Deposit,3200.00,Payroll deposit
TXN-00055,ACCT-1003,2023-02-09 11:15:17,Purchase,56.25,Pharmacy purchase
