Account_ID,Customer_ID,Account_Type,Status,Currency_Code,Open_Date,Created_Timestamp
ACCT-1001,CUST-001,Chequing,Active,CAD,2023-01-05,2023-01-05 08:30:00
ACCT-1002,CUST-001,Savings,Active,CAD,2023-01-05,2023-01-05 08:35:00
ACCT-1003,CUST-002,Chequing,Active,CAD,2023-01-07,2023-01-07 09:50:00
ACCT-1004,CUST-002,Investment,Active,CAD,2023-01-07,2023-01-07 09:55:00
ACCT-1005,CUST-003,Chequing,Active,CAD,2023-01-10,2023-01-10 11:30:00
ACCT-1006,CUST-003,Savings,Active,CAD,2023-01-10,2023-01-10 11:35:00
ACCT-1007,CUST-004,Chequing,Active,CAD,2023-01-12,2023-01-12 14:10:00
ACCT-1008,CUST-004,Credit,Active,CAD,2023-01-12,2023-01-12 14:15:00
ACCT-1009,CUST-005,Chequing,Active,CAD,2023-01-15,2023-01-15 16:35:00
ACCT-1010,CUST-005,Savings,Active,CAD,2023-01-15,2023-01-15 16:40:00
ACCT-1011,CUST-006,Chequing,Active,CAD,2023-01-18,2023-01-18 10:20:00
ACCT-1012,CUST-006,Investment,Active,CAD,2023-01-18,2023-01-18 10:25:00
ACCT-1013,CUST-007,Chequing,Active,CAD,2023-01-20,2023-01-20 13:45:00
ACCT-1014,CUST-008,Chequing,Active,CAD,2023-01-22,2023-01-22 16:00:00
ACCT-1015,CUST-008,Savings,Active,CAD,2023-01-22,2023-01-22 16:05:00
ACCT-1016,CUST-009,Chequing,Active,CAD,2023-01-25,2023-01-25 08:30:00
ACCT-1017,CUST-009,Credit,Active,CAD,2023-01-25,2023-01-25 08:35:00
ACCT-1018,CUST-010,Chequing,Active,CAD,2023-01-28,2023-01-28 11:55:00
ACCT-1019,CUST-011,Chequing,Active,CAD,2023-02-01,2023-02-01 09:15:00
ACCT-1020,CUST-011,Savings,Active,CAD,2023-02-01,2023-02-01 09:20:00
ACCT-1021,CUST-012,Chequing,Active,CAD,2023-02-03,2023-02-03 14:40:00
ACCT-1022,CUST-012,Investment,Active,CAD,2023-02-03,2023-02-03 14:45:00
ACCT-1023,CUST-013,Chequing,Active,CAD,2023-02-06,2023-02-06 16:05:00
ACCT-1024,CUST-013,Savings,Active,CAD,2023-02-06,2023-02-06 16:10:00
ACCT-1025,CUST-014,Chequing,Active,CAD,2023-02-08,2023-02-08 10:50:00
ACCT-1026,CUST-014,Credit,Active,CAD,2023-02-08,2023-02-08 10:55:00
ACCT-1027,CUST-015,Chequing,Active,CAD,2023-02-10,2023-02-10 13:25:00
ACCT-1028,CUST-016,Chequing,Active,CAD,2023-02-13,2023-02-13 15:45:00
ACCT-1029,CUST-016,Savings,Active,CAD,2023-02-13,2023-02-13 15:50:00
ACCT-1030,CUST-017,Chequing,Active,CAD,2023-02-15,2023-02-15 09:00:00
ACCT-1031,CUST-018,Chequing,Active,CAD,2023-02-18,2023-02-18 11:20:00
ACCT-1032,CUST-018,Investment,Active,CAD,2023-02-18,2023-02-18 11:25:00
ACCT-1033,CUST-019,Chequing,Active,CAD,2023-02-20,2023-02-20 14:35:00
ACCT-1034,CUST-020,Chequing,Active,CAD,2023-02-22,2023-02-22 16:55:00
ACCT-1035,CUST-020,Savings,Active,CAD,2023-02-22,2023-02-22 17:00:00
